code_pays;nom;continent;acces_pct;kwh_hab;renouv_pct;pertes_pct;pib_hab;score;statut
AE;Émirats Arabes Unis;Moyen-Orient;100,0;15284,7010578561;4,20134583903604;4,29052360146121;{2023: 49850.6872175164};0,8057370423205071;Émergent
CL;Chili;Amérique;100,0;4322,99269005513;48,0821990956395;5,91094282804127;{2023: 17067.0364799154};0,6447150551522457;Émergent
BR;Brésil;Amérique;99,8;2916,48609397384;77,3753492178891;15,1096105687426;{2023: 10377.5897719195};0,6286476220035304;Émergent
TR;Turquie;Europe/Asie;100,0;3581,25454543643;35,4189464124067;8,93648761278945;{2023: 13375.0947282864};0,5847123650476126;Émergent
VN;Vietnam;Asie;99,8;2585,49409663119;41,1697321016349;6,58319222235198;{2023: 4323.35031982451};0,5711490710114415;Émergent
KZ;Kazakhstan;Asie;100,0;5145,57131631004;10,9976885243053;9,72399524585112;{2023: 12879.4275257974};0,5539545722202711;Émergent
IN;Inde;Asie;99,5;1181,63126786529;19,131292447169;14,1614354109371;{2023: 2530.12031278204};0,4623513612423432;En transition
MA;Maroc;Afrique;100,0;997,255419654568;19,319165433143;18,1899293084121;{2023: 3813.72607421875};0,4477423993261813;En transition
BD;Bangladesh;Asie;99,5;602,897385671726;1,50701993704092;7,90266328471782;{2023: 2551.01773827307};0,4428324485081015;En transition
GH;Ghana;Afrique;89,5;564,994926884211;34,867098938968;11,2452612493819;{2023: 2383.90410483418};0,4366234512859905;En transition
EG;Égypte;Afrique;100,0;1492,89603600873;12,1959401781537;19,8703109747594;{2023: 3456.78968456253};0,4326137112500415;En transition
ZA;Afrique du Sud;Afrique;87,7;3247,14853342661;6,44786393924166;10,2490525884287;{2023: 6034.27208964673};0,42096355380172923;En transition
KE;Kenya;Afrique;76,2;190,082933008388;78,0821751777634;24,159647327403;{2023: 1942.58802756191};0,38294330767309626;En transition
ET;Éthiopie;Afrique;55,4;112,555828390227;95,4343696574432;20,729151435395;{2023: 1055.81091592527};0,3037309982691831;En transition
RW;Rwanda;Afrique;63,9;76,6779335454565;59,8933601609658;18,2659932659933;{2023: 1027.03446826565};0,2905805974177702;En transition
CG;Congo-Brazzaville;Afrique;51,3;338,353373869965;31,7064705882353;38,4549109707065;{2023: 2477.97845544866};0,07157725648643802;Pré-émergent
