annee;acces_afss_pct;acces_congo_pct;pop_afss_M;pop_congo_M;conso_afss_kwh;conso_congo_kwh;capacite_afss_gw;pib_hab_congo_usd;kwh_hab_afss;kwh_hab_congo;sans_elec_afss_M;croissance_conso_afss_pct;intensite_afss
2000;25,700773726639;29,4;681,125107;3,151345;453,546724312675;95,8320970887034;21,6102294277054;1024,30159109181;454,0;96,0;506,1;;453546724,313
2001;26,1606628026781;30,3;699,588585;3,272537;435,100655438201;104,506075867133;22,8205361056098;854,598314408095;435,0;105,0;516,6;-1,4665865040064396;435100655,438
2002;27,3364835483685;31,2;718,662153;3,350771;453,953122155481;114,003612899837;21,7578130989038;905,538135544704;454,0;114,0;522,2;7,177427659182478;453953122,155
2003;29,5928962069565;32,1;738,316131;3,445753;451,37724354373;113,473020265817;21,4471269556466;1016,82363412143;451,0;113,0;519,8;2,151849868308342;451377243,544
2004;29,3700290990251;33,0;758,653144;3,565554;457,540015503445;122,84206044839;21,7421748476866;1306,10136324599;458,0;123,0;535,8;4,157447220418664;457540015,503
2005;29,3529629714108;33,8;779,665113;3,696393;458,33933797596;114,976951855498;23,5024045272239;1799,05158366154;458,0;115,0;550,8;2,949179640374222;458339337,976
2006;31,2016431937493;34,9;801,269368;3,837409;463,791880286352;122,739066906863;23,092569636521;2103,5821381211;464,0;123,0;551,3;3,9935602273779125;463791880,286
2007;32,517987745478;35,8;823,564883;3,98043;468,157790815212;122,097361340358;21,9916134237116;2206,47101863414;468,0;122,0;555,8;3,7500688636608936;468157790,815
2008;32,4033521062592;36,8;846,656872;4,113517;448,364096699101;132,003830298987;22,5932660142938;2832,09177777643;448,0;132,0;572,3;-1,5426389056370615;448364096,699
2009;32,6264486462032;37,1;870,347292;4,281219;428,360202159745;140,147000188498;24,1965927997483;2271,15219175966;428,0;140,0;586,4;-1,788254249519905;428360202,16
2010;33,3352475874151;40,0;894,666657;4,46229;444,605307902152;134,236008865403;24,3092367887965;2946,55798067708;445,0;134,0;596,4;6,692575291918468;444605307,902
2011;35,9008197096736;40,8;919,528126;4,609724;446,539368123786;140,78934009932;24,1483071545604;3396,16505817952;447,0;141,0;589,4;3,225947031438392;446539368,124
2012;36,7762778723704;41,6;944,97031;4,74045;436,76582198592;204,200023204548;24,399660773551;3732,32737320389;437,0;204,0;597,4;0,5175833738468638;436765821,986
2013;38,0320042025018;42,5;971,232906;4,857099;434,991102945986;198,060611900231;25,1631961792199;3697,41705884249;435,0;198,0;601,9;2,3615732949573642;434991102,946
2014;38,3544769303453;43,4;997,961037;4,97588;436,400449752044;199,160751465067;25,9287809050435;3601,2365808718;436,0;199,0;615,2;3,0848902122908806;436400449,752
2015;39,1996500160838;44,3;1025,251114;5,097581;433,105520624431;297,19978946877;25,6756989570182;2439,35189403696;433,0;297,0;623,4;1,9589124188806206;433105520,624
2016;43,8301651403807;45,3;1052,824144;5,222536;429,939807142592;304,258314351495;24,9166260383745;2093,10728558843;430,0;304,0;591,4;1,9388016282677834;429939807,143
2017;43,7628194566177;46,2;1080,941647;5,351011;414,571327690808;306,297258592815;27,641048469055;2211,63309874797;415,0;306,0;607,9;-0,9993561439480159;414571327,691
2018;46,4166752425457;47,0;1109,997;5,483118;416,744076492088;243,109851000836;29,1328695052177;2694,43413191427;417,0;243,0;594,8;3,226149634504538;416744076,492
2019;47,1974168154517;47,7;1139,315618;5,616661;408,117227382674;265,638250198828;30,6520861033072;2488,42466724916;408,0;266,0;601,6;0,5165879002873686;408117227,383
2020;48,5450389491045;48,7;1169,015451;5,752791;389,199830458762;310,284173369066;31,7423890865951;1993,586671931;389,0;310,0;601,5;-2,1493048389866654;389199830,459
2021;50,6566448640617;49,7;1199,011925;5,892183;391,986946712274;321,612550051483;32,5003512911911;2516,16255145432;392,0;322,0;591,6;3,300450110055042;391986946,712
2022;51,5873775845363;50,6;1229,208573;6,035104;384,806618149662;305,877081819965;32,5003512911911;2620,83804267402;385,0;306,0;595,1;0,6405509553211841;384806618,15
2023;53,2558710664349;51,3;1259,889959;6,182885;376,428694944726;338,353373869965;32,5003512911911;2477,97845544866;376,0;338,0;588,9;0,2645071833020429;376428694,945
